
(70, 5)
(7, 37)
(4, 28)
(28, 64)
(6, 51)
(1, 52)
(91, 50)
(27, 79)
(7, 23)
(78, 54)
(55, 94)
(88, 94)
(56, 28)
(39, 96)
(45, 88)
(50, 55)
(77, 4)
(54, 73)
(4, 66)
(43, 93)
(43, 67)
(11, 32)
(43, 68)
(92, 58)
(12, 97)
(2, 8)
(85, 14)
(39, 49)
(16, 9)
(33, 93)
(6, 50)
(88, 30)
(78, 10)
(33, 53)
(62, 60)
(95, 10)
(14, 15)
(72, 14)
(10, 30)
(19, 96)
(28, 76)
(18, 12)
(15, 0)
(14, 70)
(28, 67)
(43, 69)
(11, 91)
(38, 92)
(68, 25)
(57, 80)
(5, 85)
(40, 98)
(59, 69)
(21, 13)
(2, 92)
(25, 61)
(96, 54)
(48, 45)
(58, 44)
(27, 42)
(25, 4)
(88, 33)
(72, 50)
(69, 73)
(98, 19)
(79, 59)
(79, 33)
(16, 48)
(91, 66)
(43, 81)
(94, 20)
(61, 84)
(64, 19)
(58, 95)
(96, 50)
(25, 85)
(22, 8)
(79, 3)
(83, 33)
(38, 69)
(76, 71)
(98, 60)
(95, 42)
(98, 51)
(0, 64)
(84, 25)
(22, 34)
(79, 21)
(77, 24)
(46, 83)
(73, 99)
(9, 48)
(56, 9)
(23, 15)
(61, 82)
(73, 45)
(91, 98)
(70, 88)
(93, 85)
(95, 61)
(6, 87)
(95, 90)
(17, 95)
(60, 79)
(39, 56)
(40, 77)
(52, 31)
(6, 85)
(63, 76)
(74, 52)
(98, 6)
(26, 67)
(44, 32)
(29, 91)
(28, 26)
(21, 39)
(53, 71)
(86, 69)
(62, 36)
(87, 51)
(89, 85)
(35, 29)
(72, 57)
(34, 36)
(15, 44)
(58, 78)
(27, 73)
(50, 26)
(61, 14)
(19, 81)
(71, 77)
(85, 81)
(62, 88)
(20, 72)
(18, 58)
(43, 34)
(22, 12)
(58, 21)
(52, 34)
(22, 79)
(29, 36)
(60, 7)
(78, 31)
(1, 51)
(18, 27)
(89, 70)
(87, 58)
(36, 0)
(17, 19)
(50, 30)
(29, 15)
(72, 3)
(97, 47)
(64, 32)
(71, 23)
(49, 3)
(52, 4)
(71, 44)
(13, 98)
(81, 23)
(59, 6)
(78, 36)
(65, 48)
(27, 62)
(49, 35)
(74, 42)
(6, 53)
(52, 55)
(99, 77)
(71, 19)
(74, 16)
(17, 94)
(29, 71)
(84, 77)
(67, 43)
(94, 92)
(98, 48)
(21, 9)
(31, 57)
(39, 92)
(26, 95)
(12, 97)
(58, 6)
(29, 36)
(17, 6)
(84, 44)
(6, 4)
(33, 72)
(44, 37)
(86, 53)
